MONTH,YEAR,VEHICLE_TYPE,SCENARIO,LGA,VALUE
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,4.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,4.0
Jun,2021,RES_SMALL,LOW,Mornington Peninsula,3.0
Jun,2021,RES_SMALL,LOW,Greater Dandenong,2.0
Jun,2021,RES_SMALL,LOW,Casey,7.0
Jun,2021,RES_SMALL,LOW,Cardinia,1.0
Jun,2021,RES_SMALL,MEDIUM,Melbourne,22.0
Jun,2021,RES_SMALL,MEDIUM,Melbourne,4.0
Jun,2021,RES_SMALL,MEDIUM,Melbourne,2.0
Jun,2021,RES_SMALL,MEDIUM,Port Phillip,11.0
Jun,2021,RES_SMALL,MEDIUM,Melbourne,7.0
Jun,2021,RES_SMALL,MEDIUM,Melbourne,8.0
Jun,2021,RES_SMALL,MEDIUM,Maribyrnong,4.0
Jun,2021,RES_SMALL,MEDIUM,Maribyrnong,3.0
Jun,2021,RES_SMALL,MEDIUM,Maribyrnong,3.0
Jun,2021,RES_SMALL,MEDIUM,Hobsons Bay,2.0
Jun,2021,RES_SMALL,MEDIUM,Hobsons Bay,2.0
Jun,2021,RES_SMALL,MEDIUM,Brimbank,4.0
Jun,2021,RES_SMALL,MEDIUM,Brimbank,3.0
Jun,2021,RES_SMALL,MEDIUM,Hobsons Bay,2.0
Jun,2021,RES_SMALL,MEDIUM,Moonee Valley,2.0
Jun,2021,RES_SMALL,MEDIUM,Moonee Valley,5.0
Jun,2021,RES_SMALL,MEDIUM,Brimbank,2.0
Jun,2021,RES_SMALL,MEDIUM,Brimbank,3.0
Jun,2021,RES_SMALL,MEDIUM,Moonee Valley,5.0
Jun,2021,RES_SMALL,MEDIUM,Moonee Valley,3.0
Jun,2021,RES_SMALL,MEDIUM,Moonee Valley,3.0
Jun,2021,RES_SMALL,MEDIUM,Moonee Valley,14.0
Jun,2021,RES_SMALL,MEDIUM,Moonee Valley,5.0
Jun,2021,RES_SMALL,MEDIUM,Hume,1.0
Jun,2021,RES_SMALL,MEDIUM,Hume,2.0
Jun,2021,RES_SMALL,MEDIUM,Hume,1.0
Jun,2021,RES_SMALL,MEDIUM,Melbourne,6.0
Jun,2021,RES_SMALL,MEDIUM,Merri-Bek,1.0
Jun,2021,RES_SMALL,MEDIUM,Merri-Bek,5.0
Jun,2021,RES_SMALL,MEDIUM,Merri-Bek,2.0
Jun,2021,RES_SMALL,MEDIUM,Merri-Bek,11.0
Jun,2021,RES_SMALL,MEDIUM,Merri-Bek,2.0
Jun,2021,RES_SMALL,MEDIUM,Merri-Bek,3.0
Jun,2021,RES_SMALL,MEDIUM,Merri-Bek,3.0
Jun,2021,RES_SMALL,MEDIUM,Hume,12.0
Jun,2021,RES_SMALL,MEDIUM,Yarra,3.0
Jun,2021,RES_SMALL,MEDIUM,Yarra,4.0
Jun,2021,RES_SMALL,MEDIUM,Yarra,2.0
Jun,2021,RES_SMALL,MEDIUM,Yarra,3.0
Jun,2021,RES_SMALL,MEDIUM,Darebin,5.0
Jun,2021,RES_SMALL,MEDIUM,Darebin,2.0
Jun,2021,RES_SMALL,MEDIUM,Darebin,6.0
Jun,2021,RES_SMALL,MEDIUM,Darebin,5.0
Jun,2021,RES_SMALL,MEDIUM,Whittlesea,3.0
Jun,2021,RES_SMALL,MEDIUM,Whittlesea,2.0
Jun,2021,RES_SMALL,MEDIUM,Whittlesea,17.0
Jun,2021,RES_SMALL,MEDIUM,Darebin,3.0
Jun,2021,RES_SMALL,MEDIUM,Banyule,1.0
Jun,2021,RES_SMALL,MEDIUM,Darebin,3.0
Jun,2021,RES_SMALL,MEDIUM,Banyule,4.0
Jun,2021,RES_SMALL,MEDIUM,Banyule,2.0
Jun,2021,RES_SMALL,MEDIUM,Banyule,1.0
Jun,2021,RES_SMALL,MEDIUM,Nillumbik,1.0
Jun,2021,RES_SMALL,MEDIUM,Banyule,1.0
Jun,2021,RES_SMALL,MEDIUM,Nillumbik,1.0
Jun,2021,RES_SMALL,MEDIUM,Nillumbik,5.0
Jun,2021,RES_SMALL,MEDIUM,Nillumbik,1.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,11.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,2.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,5.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,6.0
Jun,2021,RES_SMALL,MEDIUM,Manningham,1.0
Jun,2021,RES_SMALL,MEDIUM,Manningham,5.0
Jun,2021,RES_SMALL,MEDIUM,Manningham,1.0
Jun,2021,RES_SMALL,MEDIUM,Manningham,4.0
Jun,2021,RES_SMALL,MEDIUM,Manningham,4.0
Jun,2021,RES_SMALL,MEDIUM,Manningham,4.0
Jun,2021,RES_SMALL,MEDIUM,Yarra,18.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,7.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,4.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,9.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,4.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,4.0
Jun,2021,RES_SMALL,MEDIUM,Whitehorse,3.0
Jun,2021,RES_SMALL,MEDIUM,Boroondara,2.0
Jun,2021,RES_SMALL,MEDIUM,Whitehorse,6.0
Jun,2021,RES_SMALL,MEDIUM,Whitehorse,4.0
Jun,2021,RES_SMALL,MEDIUM,Maroondah,5.0
Jun,2021,RES_SMALL,MEDIUM,Maroondah,2.0
Jun,2021,RES_SMALL,MEDIUM,Maroondah,5.0
Jun,2021,RES_SMALL,MEDIUM,Maroondah,1.0
Jun,2021,RES_SMALL,MEDIUM,Yarra Ranges,1.0
Jun,2021,RES_SMALL,MEDIUM,Yarra Ranges,2.0
Jun,2021,RES_SMALL,MEDIUM,Stonnington,10.0
Jun,2021,RES_SMALL,MEDIUM,Stonnington,11.0
Jun,2021,RES_SMALL,MEDIUM,Stonnington,4.0
Jun,2021,RES_SMALL,MEDIUM,Stonnington,5.0
Jun,2021,RES_SMALL,MEDIUM,Monash,9.0
Jun,2021,RES_SMALL,MEDIUM,Monash,11.0
Jun,2021,RES_SMALL,MEDIUM,Whitehorse,2.0
Jun,2021,RES_SMALL,MEDIUM,Knox,6.0
Jun,2021,RES_SMALL,MEDIUM,Maroondah,2.0
Jun,2021,RES_SMALL,MEDIUM,Maroondah,2.0
Jun,2021,RES_SMALL,MEDIUM,Maroondah,5.0
Jun,2021,RES_SMALL,MEDIUM,Glen Eira,5.0
Jun,2021,RES_SMALL,MEDIUM,Glen Eira,4.0
Jun,2021,RES_SMALL,MEDIUM,Glen Eira,4.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,7.0
Jun,2021,RES_SMALL,MEDIUM,Monash,4.0
Jun,2021,RES_SMALL,MEDIUM,Monash,1.0
Jun,2021,RES_SMALL,MEDIUM,Monash,5.0
Jun,2021,RES_SMALL,MEDIUM,Monash,2.0
Jun,2021,RES_SMALL,MEDIUM,Greater Dandenong,4.0
Jun,2021,RES_SMALL,MEDIUM,Greater Dandenong,4.0
Jun,2021,RES_SMALL,MEDIUM,Greater Dandenong,4.0
Jun,2021,RES_SMALL,MEDIUM,Greater Dandenong,25.0
Jun,2021,RES_SMALL,MEDIUM,Knox,5.0
Jun,2021,RES_SMALL,MEDIUM,Knox,2.0
Jun,2021,RES_SMALL,MEDIUM,Stonnington,3.0
Jun,2021,RES_SMALL,MEDIUM,Stonnington,3.0
Jun,2021,RES_SMALL,MEDIUM,Port Phillip,2.0
Jun,2021,RES_SMALL,MEDIUM,Glen Eira,2.0
Jun,2021,RES_SMALL,MEDIUM,Bayside,10.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,5.0
Jun,2021,RES_SMALL,MEDIUM,Bayside,1.0
Jun,2021,RES_SMALL,MEDIUM,Bayside,1.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,3.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,4.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,2.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,7.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,2.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,2.0
Jun,2021,RES_SMALL,MEDIUM,Frankston,5.0
Jun,2021,RES_SMALL,MEDIUM,Kingston,3.0
Jun,2021,RES_SMALL,MEDIUM,Glen Eira,5.0
Jun,2021,RES_SMALL,MEDIUM,Port Phillip,5.0
Jun,2021,RES_SMALL,MEDIUM,Port Phillip,3.0
Jun,2021,RES_SMALL,MEDIUM,Port Phillip,7.0
Jun,2021,RES_SMALL,MEDIUM,Whittlesea,2.0
Jun,2021,RES_SMALL,MEDIUM,Whittlesea,2.0
Jun,2021,RES_SMALL,MEDIUM,Whittlesea,4.0
Jun,2021,RES_SMALL,MEDIUM,Whittlesea,1.0
Jun,2021,RES_SMALL,MEDIUM,Yarra Ranges,1.0
Jun,2021,RES_SMALL,MEDIUM,Yarra Ranges,1.0
Jun,2021,RES_SMALL,MEDIUM,Yarra Ranges,1.0
Jun,2021,RES_SMALL,MEDIUM,Yarra Ranges,1.0
Jun,2021,RES_SMALL,MEDIUM,Greater Dandenong,3.0
Jun,2021,RES_SMALL,MEDIUM,Casey,9.0
Jun,2021,RES_SMALL,MEDIUM,Casey,8.0
Jun,2021,RES_SMALL,MEDIUM,Casey,2.0
Jun,2021,RES_SMALL,MEDIUM,Cardinia,4.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,4.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,4.0
Jun,2021,RES_SMALL,MEDIUM,Mornington Peninsula,3.0
Jun,2021,RES_SMALL,MEDIUM,Greater Dandenong,2.0
Jun,2021,RES_SMALL,MEDIUM,Casey,7.0
Jun,2021,RES_SMALL,MEDIUM,Cardinia,1.0
Jun,2021,RES_SMALL,HIGH,Melbourne,22.0
Jun,2021,RES_SMALL,HIGH,Melbourne,4.0
Jun,2021,RES_SMALL,HIGH,Melbourne,2.0
Jun,2021,RES_SMALL,HIGH,Port Phillip,11.0
Jun,2021,RES_SMALL,HIGH,Melbourne,7.0
Jun,2021,RES_SMALL,HIGH,Melbourne,8.0
Jun,2021,RES_SMALL,HIGH,Maribyrnong,4.0
Jun,2021,RES_SMALL,HIGH,Maribyrnong,3.0
Jun,2021,RES_SMALL,HIGH,Maribyrnong,3.0
Jun,2021,RES_SMALL,HIGH,Hobsons Bay,2.0
Jun,2021,RES_SMALL,HIGH,Hobsons Bay,2.0
Jun,2021,RES_SMALL,HIGH,Brimbank,4.0
Jun,2021,RES_SMALL,HIGH,Brimbank,3.0
Jun,2021,RES_SMALL,HIGH,Hobsons Bay,2.0
Jun,2021,RES_SMALL,HIGH,Moonee Valley,2.0
Jun,2021,RES_SMALL,HIGH,Moonee Valley,5.0
Jun,2021,RES_SMALL,HIGH,Brimbank,2.0
Jun,2021,RES_SMALL,HIGH,Brimbank,3.0
Jun,2021,RES_SMALL,HIGH,Moonee Valley,5.0
Jun,2021,RES_SMALL,HIGH,Moonee Valley,3.0
Jun,2021,RES_SMALL,HIGH,Moonee Valley,3.0
Jun,2021,RES_SMALL,HIGH,Moonee Valley,14.0
Jun,2021,RES_SMALL,HIGH,Moonee Valley,5.0
Jun,2021,RES_SMALL,HIGH,Hume,1.0
Jun,2021,RES_SMALL,HIGH,Hume,2.0
Jun,2021,RES_SMALL,HIGH,Hume,1.0
Jun,2021,RES_SMALL,HIGH,Melbourne,6.0
Jun,2021,RES_SMALL,HIGH,Merri-Bek,1.0
Jun,2021,RES_SMALL,HIGH,Merri-Bek,5.0
Jun,2021,RES_SMALL,HIGH,Merri-Bek,2.0
Jun,2021,RES_SMALL,HIGH,Merri-Bek,11.0
Jun,2021,RES_SMALL,HIGH,Merri-Bek,2.0
Jun,2021,RES_SMALL,HIGH,Merri-Bek,3.0
Jun,2021,RES_SMALL,HIGH,Merri-Bek,3.0
Jun,2021,RES_SMALL,HIGH,Hume,12.0
Jun,2021,RES_SMALL,HIGH,Yarra,3.0
Jun,2021,RES_SMALL,HIGH,Yarra,4.0
Jun,2021,RES_SMALL,HIGH,Yarra,2.0
Jun,2021,RES_SMALL,HIGH,Yarra,3.0
Jun,2021,RES_SMALL,HIGH,Darebin,5.0
Jun,2021,RES_SMALL,HIGH,Darebin,2.0
Jun,2021,RES_SMALL,HIGH,Darebin,6.0
Jun,2021,RES_SMALL,HIGH,Darebin,5.0
Jun,2021,RES_SMALL,HIGH,Whittlesea,3.0
Jun,2021,RES_SMALL,HIGH,Whittlesea,2.0
Jun,2021,RES_SMALL,HIGH,Whittlesea,17.0
Jun,2021,RES_SMALL,HIGH,Darebin,3.0
Jun,2021,RES_SMALL,HIGH,Banyule,1.0
Jun,2021,RES_SMALL,HIGH,Darebin,3.0
Jun,2021,RES_SMALL,HIGH,Banyule,4.0
Jun,2021,RES_SMALL,HIGH,Banyule,2.0
Jun,2021,RES_SMALL,HIGH,Banyule,1.0
Jun,2021,RES_SMALL,HIGH,Nillumbik,1.0
Jun,2021,RES_SMALL,HIGH,Banyule,1.0
Jun,2021,RES_SMALL,HIGH,Nillumbik,1.0
Jun,2021,RES_SMALL,HIGH,Nillumbik,5.0
Jun,2021,RES_SMALL,HIGH,Nillumbik,1.0
Jun,2021,RES_SMALL,HIGH,Boroondara,11.0
Jun,2021,RES_SMALL,HIGH,Boroondara,2.0
Jun,2021,RES_SMALL,HIGH,Boroondara,5.0
Jun,2021,RES_SMALL,HIGH,Boroondara,6.0
Jun,2021,RES_SMALL,HIGH,Manningham,1.0
Jun,2021,RES_SMALL,HIGH,Manningham,5.0
Jun,2021,RES_SMALL,HIGH,Manningham,1.0
Jun,2021,RES_SMALL,HIGH,Manningham,4.0
Jun,2021,RES_SMALL,HIGH,Manningham,4.0
Jun,2021,RES_SMALL,HIGH,Manningham,4.0
Jun,2021,RES_SMALL,HIGH,Yarra,18.0
Jun,2021,RES_SMALL,HIGH,Boroondara,7.0
Jun,2021,RES_SMALL,HIGH,Boroondara,4.0
Jun,2021,RES_SMALL,HIGH,Boroondara,9.0
Jun,2021,RES_SMALL,HIGH,Boroondara,4.0
Jun,2021,RES_SMALL,HIGH,Boroondara,4.0
Jun,2021,RES_SMALL,HIGH,Whitehorse,3.0
Jun,2021,RES_SMALL,HIGH,Boroondara,2.0
Jun,2021,RES_SMALL,HIGH,Whitehorse,6.0
Jun,2021,RES_SMALL,HIGH,Whitehorse,4.0
Jun,2021,RES_SMALL,HIGH,Maroondah,5.0
Jun,2021,RES_SMALL,HIGH,Maroondah,2.0
Jun,2021,RES_SMALL,HIGH,Maroondah,5.0
Jun,2021,RES_SMALL,HIGH,Maroondah,1.0
Jun,2021,RES_SMALL,HIGH,Yarra Ranges,1.0
Jun,2021,RES_SMALL,HIGH,Yarra Ranges,2.0
Jun,2021,RES_SMALL,HIGH,Stonnington,10.0
Jun,2021,RES_SMALL,HIGH,Stonnington,11.0
Jun,2021,RES_SMALL,HIGH,Stonnington,4.0
Jun,2021,RES_SMALL,HIGH,Stonnington,5.0
Jun,2021,RES_SMALL,HIGH,Monash,9.0
Jun,2021,RES_SMALL,HIGH,Monash,11.0
Jun,2021,RES_SMALL,HIGH,Whitehorse,2.0
Jun,2021,RES_SMALL,HIGH,Knox,6.0
Jun,2021,RES_SMALL,HIGH,Maroondah,2.0
Jun,2021,RES_SMALL,HIGH,Maroondah,2.0
Jun,2021,RES_SMALL,HIGH,Maroondah,5.0
Jun,2021,RES_SMALL,HIGH,Glen Eira,5.0
Jun,2021,RES_SMALL,HIGH,Glen Eira,4.0
Jun,2021,RES_SMALL,HIGH,Glen Eira,4.0
Jun,2021,RES_SMALL,HIGH,Kingston,7.0
Jun,2021,RES_SMALL,HIGH,Monash,4.0
Jun,2021,RES_SMALL,HIGH,Monash,1.0
Jun,2021,RES_SMALL,HIGH,Monash,5.0
Jun,2021,RES_SMALL,HIGH,Monash,2.0
Jun,2021,RES_SMALL,HIGH,Greater Dandenong,4.0
Jun,2021,RES_SMALL,HIGH,Greater Dandenong,4.0
Jun,2021,RES_SMALL,HIGH,Greater Dandenong,4.0
Jun,2021,RES_SMALL,HIGH,Greater Dandenong,25.0
Jun,2021,RES_SMALL,HIGH,Knox,5.0
Jun,2021,RES_SMALL,HIGH,Knox,2.0
Jun,2021,RES_SMALL,HIGH,Stonnington,3.0
Jun,2021,RES_SMALL,HIGH,Stonnington,3.0
Jun,2021,RES_SMALL,HIGH,Port Phillip,2.0
Jun,2021,RES_SMALL,HIGH,Glen Eira,2.0
Jun,2021,RES_SMALL,HIGH,Bayside,10.0
Jun,2021,RES_SMALL,HIGH,Kingston,5.0
Jun,2021,RES_SMALL,HIGH,Bayside,1.0
Jun,2021,RES_SMALL,HIGH,Bayside,1.0
Jun,2021,RES_SMALL,HIGH,Kingston,3.0
Jun,2021,RES_SMALL,HIGH,Kingston,4.0
Jun,2021,RES_SMALL,HIGH,Kingston,2.0
Jun,2021,RES_SMALL,HIGH,Kingston,7.0
Jun,2021,RES_SMALL,HIGH,Kingston,2.0
Jun,2021,RES_SMALL,HIGH,Kingston,2.0
Jun,2021,RES_SMALL,HIGH,Frankston,5.0
Jun,2021,RES_SMALL,HIGH,Kingston,3.0
Jun,2021,RES_SMALL,HIGH,Glen Eira,5.0
Jun,2021,RES_SMALL,HIGH,Port Phillip,5.0
Jun,2021,RES_SMALL,HIGH,Port Phillip,3.0
Jun,2021,RES_SMALL,HIGH,Port Phillip,7.0
Jun,2021,RES_SMALL,HIGH,Whittlesea,2.0
Jun,2021,RES_SMALL,HIGH,Whittlesea,2.0
Jun,2021,RES_SMALL,HIGH,Whittlesea,4.0
Jun,2021,RES_SMALL,HIGH,Whittlesea,1.0
Jun,2021,RES_SMALL,HIGH,Yarra Ranges,1.0
Jun,2021,RES_SMALL,HIGH,Yarra Ranges,1.0
Jun,2021,RES_SMALL,HIGH,Yarra Ranges,1.0
Jun,2021,RES_SMALL,HIGH,Yarra Ranges,1.0
Jun,2021,RES_SMALL,HIGH,Greater Dandenong,3.0
Jun,2021,RES_SMALL,HIGH,Casey,9.0
Jun,2021,RES_SMALL,HIGH,Casey,8.0
Jun,2021,RES_SMALL,HIGH,Casey,2.0
Jun,2021,RES_SMALL,HIGH,Cardinia,4.0
Jun,2021,RES_SMALL,HIGH,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,HIGH,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,HIGH,Mornington Peninsula,1.0
Jun,2021,RES_SMALL,HIGH,Mornington Peninsula,1.0
