mode,travel_bounds,full_co2e_tons,gpc_co2e_tons,year,lga
MOTORCYCLE,TOTAL,2630.0849,1315.0424,2020,Glen Eira
MOTORCYCLE,TOTAL,2879.9934,1439.9967,2019,Glen Eira
AUTOMOBILE,TOTAL,585042.7343,324361.7949,2023,Kingston
AUTOMOBILE,TOTAL,592835.2703,328911.8878,2022,Kingston
AUTOMOBILE,TOTAL,517933.7322,288984.818,2021,Kingston
AUTOMOBILE,TOTAL,430731.0013,241297.9075,2020,Kingston
AUTOMOBILE,TOTAL,613158.6562,343475.0914,2019,Kingston
AUTOMOBILE,TOTAL,605132.4361,341318.3443,2018,Kingston
BUS,TOTAL,17531.1963,9836.888,2023,Kingston
BUS,TOTAL,12756.123,7245.2214,2022,Kingston
BUS,TOTAL,9653.6713,5540.4255,2021,Kingston
BUS,TOTAL,12313.4349,7078.1512,2020,Kingston
BUS,TOTAL,15157.1039,8395.8992,2019,Kingston
BUS,TOTAL,11017.4427,6147.1933,2018,Kingston
MOTORCYCLE,TOTAL,3421.044,1710.522,2020,Kingston
MOTORCYCLE,TOTAL,4469.136,2234.568,2019,Kingston
AUTOMOBILE,TOTAL,627899.5547,344595.8608,2023,Monash
AUTOMOBILE,TOTAL,626615.6088,344063.8191,2022,Monash
AUTOMOBILE,TOTAL,539266.8875,297221.6076,2021,Monash
AUTOMOBILE,TOTAL,442337.1066,243982.2612,2020,Monash
AUTOMOBILE,TOTAL,687759.0511,379966.4408,2019,Monash
AUTOMOBILE,TOTAL,674280.2588,375528.2717,2018,Monash
BUS,TOTAL,29208.7733,17870.7248,2023,Monash
BUS,TOTAL,23071.7806,14164.8808,2022,Monash
BUS,TOTAL,16120.1281,9718.2892,2021,Monash
BUS,TOTAL,17843.7576,10594.7299,2020,Monash
BUS,TOTAL,32303.2673,19328.4245,2019,Monash
BUS,TOTAL,22881.9585,13517.6971,2018,Monash
MOTORCYCLE,TOTAL,3983.7685,2324.6379,2020,Monash
MOTORCYCLE,TOTAL,4069.6988,2034.8494,2019,Monash
AUTOMOBILE,TOTAL,536116.3992,316176.4972,2023,Whittlesea
AUTOMOBILE,TOTAL,542411.6297,319945.867,2022,Whittlesea
AUTOMOBILE,TOTAL,470210.2449,279232.1882,2021,Whittlesea
AUTOMOBILE,TOTAL,382728.9626,228322.398,2020,Whittlesea
AUTOMOBILE,TOTAL,553129.5466,328567.1478,2019,Whittlesea
AUTOMOBILE,TOTAL,539676.7155,323226.1262,2018,Whittlesea
BUS,TOTAL,11235.7957,7620.7277,2023,Whittlesea
BUS,TOTAL,9220.8594,6304.2275,2022,Whittlesea
BUS,TOTAL,6874.418,4781.7121,2021,Whittlesea
BUS,TOTAL,8124.5091,5486.5895,2020,Whittlesea
BUS,TOTAL,9145.2395,5874.0604,2019,Whittlesea
BUS,TOTAL,6336.6639,4106.7205,2018,Whittlesea
MOTORCYCLE,TOTAL,2144.1246,1072.0623,2020,Whittlesea
MOTORCYCLE,TOTAL,3621.0647,1810.5323,2019,Whittlesea
MOTORCYCLE,TOTAL,2741.1888,1370.5944,2018,Whittlesea
AUTOMOBILE,TOTAL,398010.2589,218623.6012,2023,Darebin
AUTOMOBILE,TOTAL,410602.3456,225850.3296,2022,Darebin
AUTOMOBILE,TOTAL,355360.8504,196913.0539,2021,Darebin
AUTOMOBILE,TOTAL,292547.4752,163458.9404,2020,Darebin
AUTOMOBILE,TOTAL,420097.0103,233340.1951,2019,Darebin
AUTOMOBILE,TOTAL,407114.0788,227841.6955,2018,Darebin
BUS,TOTAL,16252.9602,9898.9174,2023,Darebin
BUS,TOTAL,13664.2216,8322.1719,2022,Darebin
BUS,TOTAL,9942.2447,6108.1529,2021,Darebin
BUS,TOTAL,10833.3644,6604.5603,2020,Darebin
BUS,TOTAL,17966.1251,10536.1241,2019,Darebin
BUS,TOTAL,13266.0273,7861.9512,2018,Darebin
MOTORCYCLE,TOTAL,2209.3777,1104.6888,2021,Darebin
MOTORCYCLE,TOTAL,2618.9905,1309.4952,2020,Darebin
MOTORCYCLE,TOTAL,3498.4363,1749.2182,2019,Darebin
MOTORCYCLE,TOTAL,2022.241,1011.1205,2018,Darebin
AUTOMOBILE,TOTAL,485933.2733,275588.8444,2023,Frankston
AUTOMOBILE,TOTAL,486991.6378,277393.5841,2022,Frankston
AUTOMOBILE,TOTAL,421502.3587,241757.6741,2021,Frankston
AUTOMOBILE,TOTAL,351529.3914,202139.1762,2020,Frankston
AUTOMOBILE,TOTAL,506016.9243,290697.1734,2019,Frankston
AUTOMOBILE,TOTAL,490918.0888,284808.5949,2018,Frankston
BUS,TOTAL,12207.5005,7472.347,2023,Frankston
BUS,TOTAL,9095.3071,5651.9601,2022,Frankston
BUS,TOTAL,7806.9766,4818.3588,2021,Frankston
BUS,TOTAL,9837.9446,6123.3705,2020,Frankston
BUS,TOTAL,10504.3176,6247.2263,2019,Frankston
BUS,TOTAL,5490.6012,2745.3006,2018,Frankston
MOTORCYCLE,TOTAL,2260.2882,1130.1441,2020,Frankston
MOTORCYCLE,TOTAL,2924.1032,1462.0516,2019,Frankston
MOTORCYCLE,TOTAL,1921.66,960.83,2018,Frankston
AUTOMOBILE,TOTAL,664281.1064,368668.1619,2023,Greater Dandenong
AUTOMOBILE,TOTAL,677300.5304,376302.3813,2022,Greater Dandenong
AUTOMOBILE,TOTAL,589848.9755,329043.0369,2021,Greater Dandenong
AUTOMOBILE,TOTAL,467651.5148,261734.8885,2020,Greater Dandenong
AUTOMOBILE,TOTAL,647329.7327,363603.2013,2019,Greater Dandenong
AUTOMOBILE,TOTAL,640227.9777,363317.2079,2018,Greater Dandenong
BUS,TOTAL,18551.2995,10939.3182,2023,Greater Dandenong
BUS,TOTAL,14973.3118,8834.442,2022,Greater Dandenong
BUS,TOTAL,11740.6572,6883.568,2021,Greater Dandenong
BUS,TOTAL,13713.5831,8021.2024,2020,Greater Dandenong
BUS,TOTAL,16422.5996,9533.1198,2019,Greater Dandenong
BUS,TOTAL,13381.4728,7636.5059,2018,Greater Dandenong
MOTORCYCLE,TOTAL,3086.9856,1543.4928,2020,Greater Dandenong
AUTOMOBILE,TOTAL,364133.8921,200010.7757,2023,Hobsons Bay
AUTOMOBILE,TOTAL,373639.6956,205328.1333,2022,Hobsons Bay
AUTOMOBILE,TOTAL,329999.3142,182163.1381,2021,Hobsons Bay
AUTOMOBILE,TOTAL,266521.3707,147915.8535,2020,Hobsons Bay
AUTOMOBILE,TOTAL,372657.3879,206505.3606,2019,Hobsons Bay
AUTOMOBILE,TOTAL,355577.6559,198666.3421,2018,Hobsons Bay
BUS,TOTAL,7449.5156,4417.3572,2023,Hobsons Bay
BUS,TOTAL,5276.0103,3181.2182,2022,Hobsons Bay
BUS,TOTAL,4537.0821,2725.6749,2021,Hobsons Bay
BUS,TOTAL,5714.0974,3361.9881,2020,Hobsons Bay
BUS,TOTAL,6753.136,3943.8393,2019,Hobsons Bay
BUS,TOTAL,4464.065,2683.7315,2018,Hobsons Bay
MOTORCYCLE,TOTAL,2024.8632,1012.4316,2020,Hobsons Bay
MOTORCYCLE,TOTAL,3271.2676,1635.6338,2019,Hobsons Bay
MOTORCYCLE,TOTAL,2118.7,1059.35,2018,Hobsons Bay
AUTOMOBILE,TOTAL,893214.9593,513832.2071,2023,Hume
AUTOMOBILE,TOTAL,869176.6326,501992.3353,2022,Hume
AUTOMOBILE,TOTAL,663171.1092,389204.8066,2021,Hume
AUTOMOBILE,TOTAL,547960.8692,321491.9407,2020,Hume
AUTOMOBILE,TOTAL,927686.2419,538073.2312,2019,Hume
AUTOMOBILE,TOTAL,920147.3592,537126.1516,2018,Hume
BUS,TOTAL,20336.8675,12517.7009,2023,Hume
BUS,TOTAL,16181.6714,9942.0083,2022,Hume
BUS,TOTAL,7484.1406,4990.6252,2021,Hume
BUS,TOTAL,12150.1767,7611.5036,2020,Hume
BUS,TOTAL,26797.7565,14996.6563,2019,Hume
BUS,TOTAL,18920.6139,10556.9435,2018,Hume
MOTORCYCLE,TOTAL,2748.4708,1374.2354,2020,Hume
MOTORCYCLE,TOTAL,5554.4945,2777.2472,2019,Hume
MOTORCYCLE,TOTAL,4137.4709,2068.7354,2018,Hume
AUTOMOBILE,TOTAL,553777.0408,310133.6247,2023,Knox
AUTOMOBILE,TOTAL,552211.5526,309578.0436,2022,Knox
AUTOMOBILE,TOTAL,479897.314,271047.6614,2021,Knox
AUTOMOBILE,TOTAL,393138.5644,222978.5551,2020,Knox
AUTOMOBILE,TOTAL,588911.5211,333345.528,2019,Knox
AUTOMOBILE,TOTAL,569121.4197,324695.1146,2018,Knox
BUS,TOTAL,11633.6131,6810.4382,2023,Knox
BUS,TOTAL,9204.9121,5394.2746,2022,Knox
BUS,TOTAL,7361.1719,4317.4198,2021,Knox
BUS,TOTAL,8479.898,4971.6807,2020,Knox
BUS,TOTAL,10704.7685,5968.886,2019,Knox
