mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,lga
CYCLING,INBOUND,668188,4490455,2245227.5,0,0,2021,Moonee Valley
CYCLING,INBOUND,683188,4366511,2183255.5,0,0,2020,Moonee Valley
CYCLING,INBOUND,785454,5029261,2514630.5,0,0,2019,Moonee Valley
CYCLING,INBOUND,753152,4825305,2412652.5,0,0,2018,Moonee Valley
CYCLING,OUTBOUND,737803,4991600,2495800,0,0,2023,Moonee Valley
CYCLING,OUTBOUND,646383,4382785,2191392.5,0,0,2022,Moonee Valley
CYCLING,OUTBOUND,672117,4555980,2277990,0,0,2021,Moonee Valley
CYCLING,OUTBOUND,695041,4489980,2244990,0,0,2020,Moonee Valley
CYCLING,OUTBOUND,786647,5101181,2550590.5,0,0,2019,Moonee Valley
CYCLING,OUTBOUND,752777,4867801,2433900.5,0,0,2018,Moonee Valley
CYCLING,TOTAL,2455020,13213741,8282755.5,0,0,2023,Moonee Valley
CYCLING,TOTAL,2141852,11791995,7459492.5,0,0,2022,Moonee Valley
CYCLING,TOTAL,2322374,13113433,8590215.5,0,0,2021,Moonee Valley
CYCLING,TOTAL,2519478,13562886,9134640.5,0,0,2020,Moonee Valley
CYCLING,TOTAL,2501032,12534963,7469742,0,0,2019,Moonee Valley
CYCLING,TOTAL,2397058,12074937,7228384,0,0,2018,Moonee Valley
MOTORCYCLE,INBOUND,330680,4512985,2256492.5,849.5031,424.7515,2021,Moonee Valley
MOTORCYCLE,INBOUND,478116,5237766,2618883,985.9324,492.9662,2020,Moonee Valley
MOTORCYCLE,INBOUND,565562,7717659,3858829.5,1452.7358,726.3679,2019,Moonee Valley
MOTORCYCLE,INBOUND,264008,4580610,2290305,862.232,431.116,2018,Moonee Valley
MOTORCYCLE,OUTBOUND,330768,4393493,2196746.5,827.0104,413.5052,2021,Moonee Valley
MOTORCYCLE,OUTBOUND,481437,5265803,2632901.5,991.21,495.605,2020,Moonee Valley
MOTORCYCLE,OUTBOUND,554117,7428133,3714066.5,1398.2368,699.1184,2019,Moonee Valley
MOTORCYCLE,OUTBOUND,255056,4253621,2126810.5,800.682,400.341,2018,Moonee Valley
MOTORCYCLE,TOTAL,661448,8906478,4453239,1676.5135,838.2568,2021,Moonee Valley
MOTORCYCLE,TOTAL,959553,10503569,5251784.5,1977.1424,988.5712,2020,Moonee Valley
MOTORCYCLE,TOTAL,1119679,15145792,7572896,2850.9726,1425.4863,2019,Moonee Valley
MOTORCYCLE,TOTAL,519064,8834231,4417115.5,1662.914,831.457,2018,Moonee Valley
ON FOOT,IN-BOUNDARY,19472802,16779593,16779593,0,0,2023,Moonee Valley
ON FOOT,IN-BOUNDARY,18657450,17069300,17069300,0,0,2022,Moonee Valley
ON FOOT,IN-BOUNDARY,18801958,18885949,18885949,0,0,2021,Moonee Valley
ON FOOT,IN-BOUNDARY,17789593,18806500,18806500,0,0,2020,Moonee Valley
ON FOOT,IN-BOUNDARY,21794500,15436091,15436091,0,0,2019,Moonee Valley
ON FOOT,IN-BOUNDARY,20736941,15035906,15035906,0,0,2018,Moonee Valley
ON FOOT,INBOUND,1467925,2483856,1241928,0,0,2023,Moonee Valley
ON FOOT,INBOUND,1425508,2496212,1248106,0,0,2022,Moonee Valley
ON FOOT,INBOUND,1524244,2889568,1444784,0,0,2021,Moonee Valley
ON FOOT,INBOUND,1600651,3231484,1615742,0,0,2020,Moonee Valley
ON FOOT,INBOUND,2371174,4884705,2442352.5,0,0,2019,Moonee Valley
ON FOOT,INBOUND,2449160,4626157,2313078.5,0,0,2018,Moonee Valley
ON FOOT,OUTBOUND,1451717,2541137,1270568.5,0,0,2023,Moonee Valley
ON FOOT,OUTBOUND,1408987,2534797,1267398.5,0,0,2022,Moonee Valley
ON FOOT,OUTBOUND,1500029,2874004,1437002,0,0,2021,Moonee Valley
ON FOOT,OUTBOUND,1604062,3250441,1625220.5,0,0,2020,Moonee Valley
ON FOOT,OUTBOUND,2194806,4805214,2402607,0,0,2019,Moonee Valley
ON FOOT,OUTBOUND,2293252,4583201,2291600.5,0,0,2018,Moonee Valley
ON FOOT,TOTAL,22392444,21804586,19292089.5,0,0,2023,Moonee Valley
ON FOOT,TOTAL,21491945,22100309,19584804.5,0,0,2022,Moonee Valley
ON FOOT,TOTAL,21826231,24649521,21767735,0,0,2021,Moonee Valley
ON FOOT,TOTAL,20994306,25288425,22047462.5,0,0,2020,Moonee Valley
ON FOOT,TOTAL,26360480,25126010,20281050.5,0,0,2019,Moonee Valley
ON FOOT,TOTAL,25479353,24245264,19640585,0,0,2018,Moonee Valley
RAIL,IN-BOUNDARY,306846,1373950,1373950,0,0,2018,Moonee Valley
RAIL,INBOUND,2885278,25853884,12926942,0,0,2023,Moonee Valley
RAIL,INBOUND,2303724,21045114,10522557,0,0,2022,Moonee Valley
RAIL,INBOUND,1586524,15099288,7549644,0,0,2021,Moonee Valley
RAIL,INBOUND,1810838,17678474,8839237,0,0,2020,Moonee Valley
RAIL,INBOUND,4685166,51563954,25781977,0,0,2019,Moonee Valley
RAIL,INBOUND,4282271,39937712,19968856,0,0,2018,Moonee Valley
RAIL,OUTBOUND,2996967,26517861,13258930.5,0,0,2023,Moonee Valley
RAIL,OUTBOUND,2391788,21539272,10769636,0,0,2022,Moonee Valley
RAIL,OUTBOUND,1677143,15697551,7848775.5,0,0,2021,Moonee Valley
RAIL,OUTBOUND,1899205,17561350,8780675,0,0,2020,Moonee Valley
RAIL,OUTBOUND,5015385,52053948,26026974,0,0,2019,Moonee Valley
RAIL,OUTBOUND,4544094,40472505,20236252.5,0,0,2018,Moonee Valley
RAIL,TOTAL,5882245,52371745,26185872.5,0,0,2023,Moonee Valley
RAIL,TOTAL,4695512,42584386,21292193,0,0,2022,Moonee Valley
RAIL,TOTAL,3263667,30796839,15398419.5,0,0,2021,Moonee Valley
RAIL,TOTAL,3710043,35239824,17619912,0,0,2020,Moonee Valley
RAIL,TOTAL,9700551,103617902,51808951,0,0,2019,Moonee Valley
RAIL,TOTAL,9133211,81784167,41579058.5,0,0,2018,Moonee Valley
TRAM,IN-BOUNDARY,1263421,4706989,4706989,0,0,2023,Moonee Valley
TRAM,IN-BOUNDARY,939565,3905084,3905084,0,0,2022,Moonee Valley
TRAM,IN-BOUNDARY,809467,3322479,3322479,0,0,2021,Moonee Valley
TRAM,IN-BOUNDARY,891784,3387806,3387806,0,0,2020,Moonee Valley
TRAM,IN-BOUNDARY,2018210,9217771,9217771,0,0,2019,Moonee Valley
TRAM,IN-BOUNDARY,1907614,5690568,5690568,0,0,2018,Moonee Valley
TRAM,INBOUND,2057762,16412226,8206113,0,0,2023,Moonee Valley
TRAM,INBOUND,1608669,13322561,6661280.5,0,0,2022,Moonee Valley
TRAM,INBOUND,1248916,10026008,5013004,0,0,2021,Moonee Valley
TRAM,INBOUND,1333973,10085767,5042883.5,0,0,2020,Moonee Valley
TRAM,INBOUND,2757707,26017847,13008923.5,0,0,2019,Moonee Valley
TRAM,INBOUND,2972330,18762496,9381248,0,0,2018,Moonee Valley
TRAM,OUTBOUND,2111870,16625912,8312956,0,0,2023,Moonee Valley
TRAM,OUTBOUND,1644681,12338793,6169396.5,0,0,2022,Moonee Valley
TRAM,OUTBOUND,1259514,9397114,4698557,0,0,2021,Moonee Valley
TRAM,OUTBOUND,1337352,10102201,5051100.5,0,0,2020,Moonee Valley
TRAM,OUTBOUND,2893432,27058052,13529026,0,0,2019,Moonee Valley
TRAM,OUTBOUND,3181329,20148514,10074257,0,0,2018,Moonee Valley
TRAM,TOTAL,5433053,37745127,21226058,0,0,2023,Moonee Valley
TRAM,TOTAL,4192915,29566438,16735761,0,0,2022,Moonee Valley
TRAM,TOTAL,3317897,22745601,13034040,0,0,2021,Moonee Valley
TRAM,TOTAL,3563109,23575774,13481790,0,0,2020,Moonee Valley
TRAM,TOTAL,7669349,62293670,35755720.5,0,0,2019,Moonee Valley
TRAM,TOTAL,8061273,44601578,25146073,0,0,2018,Moonee Valley
